id,kandidat,valg,parti,rangering,rangering_original,valgt,personstemmer,slengere,partistemmer,partiprosent,parti_original,count,election,total_hits,decay,hits_after_list_public,cum_hits,hits_before_list_public
kandidat001195,Knut Rustand,2007,frp,35,28,Ikke valgt,156,4,38873,14.3,Fremskrittspartiet,160,2007-09-10,5,0.0701417685525322,0,43,43
kandidat001196,Knut Sand Bakken,2007,ap,48,41,Ikke valgt,397,34,81265,29.89,Det norske Arbeiderparti,431,2007-09-10,171,7.83850124593592,24,358,334
kandidat001197,Konrad Janusz Værnes,2015,h,34,30,Vara,544,43,101882,31.8,Høyre,587,2015-09-14,10,0.0143627820925829,0,10,10
kandidat001198,Kristen Knudsen,2011,v,64,44,Ikke valgt,44,1,25351,8.17,Venstre,45,2011-09-12,16,0.00190727682181216,0,135,135
kandidat001199,Kristen Turtum,2007,kp,9,44,Ikke valgt,2,4,120000,0.04,Kystpartiet,6,NA,0,0,0,0,0
kandidat001200,Krister Borge,2015,pirat,15,19,Ikke valgt,24,2,805,0.25,Piratpartiet,26,2015-09-14,4,7.11889662847111e-06,0,4,4
kandidat001201,Kristian August Moen,2007,dem,41,51,Ikke valgt,1,0,306000,0.11,Demokratene,1,2007-09-10,3,4.49290345887879e-05,0,3,3
kandidat001202,Kristian Norheim,2007,frp,10,9,Vara,477,36,38873,14.3,Fremskrittspartiet,513,2007-09-10,336,25.37637332702,53,356,303
kandidat001203,Kristian Norheim,2011,frp,29,29,Ikke valgt,106,12,21852,7.04,Fremskrittspartiet,118,2011-09-12,163,3.84605931842325,6,519,513
kandidat001204,Kristian Vårvik,2007,sp,22,16,Ikke valgt,20,3,2189,0.81,Senterpartiet,23,2007-09-10,15,0.038027215074564,0,29,29
kandidat001205,Kristian Vårvik,2011,sp,17,10,Ikke valgt,17,2,1591,0.51,Senterpartiet,19,2011-09-12,56,3.5746496235389,7,85,78
kandidat001206,Kristian Vårvik,2015,sp,43,44,Ikke valgt,12,1,1926,0.6,Senterpartiet,13,2015-09-14,109,2.94624793684354,8,194,186
kandidat001207,Kristina Alnes,2011,mdg,40,44,Ikke valgt,34,6,7653,2.47,Miljøpartiet De Grønne,40,2011-09-12,251,12.1335159270125,61,251,190
kandidat001208,Kristin Borg,2015,sv,47,35,Ikke valgt,116,7,17445,5.44,Sosialistisk Venstreparti,123,2015-09-14,55,6.03653925203161,15,113,98
kandidat001209,Kristine Joy Nordenson,2007,ap,43,38,Ikke valgt,490,9,81265,29.89,Det norske Arbeiderparti,499,2007-09-10,1,0.031745636378068,0,3,3
kandidat001210,Kristine Schøyen Berdal,2015,mdg,29,29,Ikke valgt,249,14,26096,8.14,Miljøpartiet De Grønne,263,2015-09-14,24,0.0342401539996613,0,24,24
kandidat001211,Kristin Høimyr,2007,ksp,3,3,Ikke valgt,15,7,158000,0.06,Kristent Samlingsparti,22,NA,0,0,0,0,0
kandidat001212,Kristin Langeland,2015,h,63,60,Ikke valgt,272,4,101882,31.8,Høyre,276,2015-09-14,279,10.6278908112209,28,608,580
kandidat001213,Kristin Vik,2015,h,36,50,Vara,515,41,101882,31.8,Høyre,556,2015-09-14,296,7.73738710411523,17,549,532
kandidat001214,Kristin Vinje,2007,h,7,10,Valgt,1449,84,68475,25.19,Høyre,1533,2007-09-10,80,3.44213922603878,7,102,95
kandidat001215,Kristin Vinje,2011,h,4,3,Valgt,2070,90,110776,35.7,Høyre,2160,2011-09-12,1030,43.6757551033529,75,1132,1057
kandidat001216,Kristoffer Gustavsen,2011,h,23,28,Vara,756,59,110776,35.7,Høyre,815,2011-09-12,96,4.37009822977008,6,160,154
kandidat001217,Kristoffer Gustavsen,2015,h,22,22,Vara,843,67,101882,31.8,Høyre,910,2015-09-14,242,4.60055437470119,8,402,394
kandidat001218,Kristoffer Robin Haug,2015,mdg,27,18,Ikke valgt,234,43,26096,8.14,Miljøpartiet De Grønne,277,2015-09-14,44,1.89998360631656,4,46,42
kandidat001219,Kristoffer Vold,2007,kp,48,46,Ikke valgt,0,0,120000,0.04,Kystpartiet,0,2007-09-10,2,0.292291131885157,1,2,1
